Filename,Width,Height,Bands,CRS,Resolution,Bounds,Dtype
teesta_distance_to_river_m.tif,1003,743,1,EPSG:4326,"(0.0002694945852358564, 0.0002694945852358564)","[88.2499, 26.9998, 88.5202, 27.2]",float64
teesta_hand_90m.tif,335,248,1,EPSG:4326,"(0.0008084837557075693, 0.0008084837557075693)","[88.2496, 26.9998, 88.5205, 27.2003]",float32
teesta_river_width_90m.tif,335,248,1,EPSG:4326,"(0.0008084837557075693, 0.0008084837557075693)","[88.2496, 26.9998, 88.5205, 27.2003]",float32
teesta_slope_30m.tif,1003,743,1,EPSG:4326,"(0.0002694945852358564, 0.0002694945852358564)","[88.2498, 26.9999, 88.5201, 27.2001]",float32
teesta_static_features_v2.tif,1003,743,8,EPSG:4326,"(0.0002694945852358564, 0.0002694945852358564)","[88.2498, 26.9999, 88.5201, 27.2001]",float32
teesta_upstream_area_90m.tif,335,248,1,EPSG:4326,"(0.0008084837557075693, 0.0008084837557075693)","[88.2496, 26.9998, 88.5205, 27.2003]",float32
teesta_worldcover_10m.tif,3006,2229,1,EPSG:4326,"(8.983152841195215e-05, 8.983152841195215e-05)","[88.25, 26.9999, 88.52, 27.2002]",uint8
