timestamp,rain_27.00_88.25,rain_27.00_88.50,rain_27.25_88.25,rain_27.25_88.50,rain_mean,rain_max,rain_1d,rain_3d,rain_7d
2023-06-05,0.0,13.57394,0.0,5.2931023,4.716760575,13.57394,4.716760575,11.879203635,36.818510835000005
2023-06-06,0.018348346,0.49780756,0.0,0.0,0.12903897649999999,0.49780756,0.12903897649999999,8.7494291115,36.947549811500004
2023-06-07,0.0,0.0,0.0,2.6790123,0.669753075,2.6790123,0.669753075,5.5155526265,37.617302886500006
2023-06-08,3.1008704,3.0810304,0.0,2.358997,2.13522445,3.1008704,2.13522445,2.9340165015,24.266953386500006
2023-06-09,3.4806662,5.548345,2.8594072,3.2334962,3.7804786499999996,5.548345,3.7804786499999996,6.585456174999999,18.593698786500006
2023-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9157031,15.334885286500006
2023-06-11,0.5504503,0.0,0.019745445,0.013166015,0.14584044,0.5504503,0.14584044,3.92631909,11.577096166500008
2023-06-12,62.53798,41.800846,34.31013,39.38056,44.507379,62.53798,44.507379,44.65321944,51.367714591500004
2023-06-13,5.807001,23.386353,18.8943,20.231754,17.079852,23.386353,17.079852,61.73307144,68.31852761500001
2023-06-14,34.563366,8.635488,17.94937,23.292093,21.11007925,34.563366,21.11007925,82.69731025,88.75885379
2023-06-15,25.252104,17.249977,20.356798,13.1325655,18.997861125,25.252104,18.997861125,57.187792375,105.62149046500001
2023-06-16,25.033062,32.872913,42.496452,39.895657,35.074521,42.496452,35.074521,75.18246137499999,136.915532815
2023-06-17,24.294172,50.90815,12.66093,21.587475,27.362681749999997,50.90815,27.362681749999997,81.43506387499998,164.27821456499998
2023-06-18,76.32947,47.351677,33.700756,41.266075,49.661994500000006,76.32947,49.661994500000006,112.09919724999999,213.794368625
2023-06-19,88.97714,57.535683,24.736042,32.554756,50.95090525,88.97714,50.95090525,127.9755815,220.237894875
2023-06-20,13.278296,22.175566,7.0719967,15.760269,14.571531925,22.175566,14.571531925,115.184431675,217.7295748
2023-06-21,44.905308,28.433203,17.385452,20.793068,27.87925775,44.905308,27.87925775,93.401694925,224.4987533
2023-06-22,3.8338368,45.191467,15.188552,24.499989,22.1784612,45.191467,22.1784612,64.629250875,227.679353375
2023-06-23,53.213417,14.749213,0.2440025,10.591249,19.699470375,53.213417,19.699470375,69.757189325,212.30430274999998
2023-06-24,1.1301568,21.131216,0.8735287,11.284562,8.604865875,21.131216,8.604865875,50.48279745,193.546486875
2023-06-25,28.551195,12.041383,1.250447,5.088763,11.732947000000001,28.551195,11.732947000000001,40.03728325,155.617439375
2023-06-26,27.872423,34.65142,23.241661,17.251385,25.754222249999998,34.65142,25.754222249999998,46.092035124999995,130.420756375
2023-06-27,39.352203,65.414055,13.239953,38.417038,39.10581225,65.414055,39.10581225,76.5929815,154.9550367
2023-06-28,33.243126,59.68705,61.436924,75.955124,57.580556,75.955124,57.580556,122.4405905,184.65633495
2023-06-29,49.28769,18.076357,45.399914,42.954346,38.929576749999995,49.28769,38.929576749999995,135.615945,201.4074505
2023-06-30,26.561798,32.347168,9.852324,32.29604,25.264332500000002,32.347168,25.264332500000002,121.77446524999999,206.972312625
2023-07-01,7.1103215,11.859779,1.7612356,8.984122,7.428864525,11.859779,7.428864525,71.622773775,205.796311275
2023-07-02,7.6754055,73.19586,26.334665,47.98491,38.797710124999995,73.19586,38.797710124999995,71.49090715,232.86107439999998
2023-07-03,6.1760006,77.808685,7.0274186,32.70325,30.92883855,77.808685,30.92883855,77.1554132,238.0356907
2023-07-04,47.853542,40.98675,43.425766,54.237595,46.62591325,54.237595,46.62591325,116.352461925,245.5557917
2023-07-05,21.96637,34.061443,3.9863555,24.977837,21.248001375,34.061443,21.248001375,98.80275317499999,209.223237075
2023-07-06,1.0396992,52.98196,1.5769658,26.1977,20.44908125,52.98196,20.44908125,88.322995875,190.742741575
2023-07-07,96.961655,40.952892,38.562843,48.44484,56.2305575,96.961655,56.2305575,97.92764012500001,221.708966575
2023-07-08,10.663291,82.65155,19.760738,53.129387,41.5512415,82.65155,41.5512415,118.23088025000001,255.83134355
2023-07-09,0.6238437,24.452763,0.66759104,10.582997,9.081798685,24.452763,9.081798685,106.863597685,226.11543211
2023-07-10,8.300932,21.24551,1.1671814,13.49649,11.05252835,21.24551,11.05252835,61.685568535,206.23912191000002
2023-07-11,2.480912,5.590232,0.9966329,2.7877407,2.9638794,5.590232,2.9638794,23.098206435,162.57708806
2023-07-12,13.469628,17.916313,2.7276409,7.205436,10.329754475,17.916313,10.329754475,24.346162225,151.65884115999998
2023-07-13,89.70412,112.164696,12.513957,57.53888,67.98041325,112.164696,67.98041325,81.274047125,199.19017316000003
2023-07-14,113.40688,102.20182,61.34651,68.992874,86.487021,113.40688,86.487021,164.797188725,229.44663666000002
2023-07-15,23.232843,21.139717,10.968396,18.325117,18.41651825,23.232843,18.41651825,172.8839525,206.31191341000002
2023-07-16,1.8022419,8.32535,7.7275357,5.474191,5.83232965,8.32535,5.83232965,110.7358689,203.062444375
2023-07-17,1.3328447,19.390543,3.1769989,10.124463,8.5062124,19.390543,8.5062124,32.7550603,200.516128425
2023-07-18,10.901315,25.028618,20.59885,29.694408,21.55579775,29.694408,21.55579775,35.8943398,219.108046775
2023-07-19,0.0,0.0,0.29055056,0.839357,0.28247689,0.839357,0.28247689,30.344487040000004,209.06076919
2023-07-20,0.0,0.0,0.05923634,0.039498046,0.024683596500000002,0.05923634,0.024683596500000002,21.8629582365,141.10503953650002
2023-07-21,1.3509839,50.503426,5.0152755,25.731527,20.650303100000002,50.503426,20.650303100000002,20.9574635865,75.2683216365
2023-07-22,19.493893,13.50569,17.051062,14.722663,16.193327,19.493893,16.193327,36.868313696499996,73.0451303865
2023-07-23,0.14678676,16.829018,13.579052,15.833769,11.597156440000001,16.829018,11.597156440000001,48.440786540000005,78.8099571765
2023-07-24,6.3543143,9.057078,3.7844872,5.4799767,6.16896405,9.057078,6.16896405,33.95944749,76.47270882650001
2023-07-25,19.486393,64.62057,33.8492,52.231018,42.54679525,64.62057,42.54679525,60.31291574000001,97.4637063265
2023-07-26,30.935383,23.063635,29.767271,23.841885,26.9020435,30.935383,26.9020435,75.6178028,124.08327293650001
2023-07-27,10.644281,17.66622,0.602175,7.2585063,9.042795575,17.66622,9.042795575,78.491634325,133.101384915
2023-07-28,12.240335,11.440051,3.2881043,6.2990336,8.316880975,12.240335,8.316880975,44.26172005000001,120.76796279000001
2023-07-29,0.22018015,29.16679,3.8978848,17.771103,12.763989487499998,29.16679,12.763989487499998,30.123666037500005,117.3386252775
2023-07-30,10.590317,22.175505,13.887885,20.787691,16.860349499999998,22.175505,16.860349499999998,37.9412199625,122.60181833749999
2023-07-31,0.0,2.1623502,5.465343,4.265058,2.9731878,5.465343,2.9731878,32.5975267875,119.4060420875
2023-08-01,1.7117845,0.0,10.635062,5.871985,4.554707875,10.635062,4.554707875,24.388245175000005,81.4139547125
2023-08-02,50.341698,155.93419,36.349594,74.61255,79.309508,155.93419,79.309508,86.837403675,133.8214192125
2023-08-03,9.5734215,16.99537,24.517084,36.155624,21.810374875,36.155624,21.810374875,105.67459075,146.58899851249998
2023-08-04,18.605112,14.390579,2.7881603,7.811362,10.898803325000001,18.605112,10.898803325000001,112.0186862,149.1709208625
2023-08-05,21.291979,46.798996,10.886278,23.355844,25.583274250000002,46.798996,25.583274250000002,58.29245245000002,161.990205625
2023-08-06,2.5065408,12.586008,1.9265212,7.3288274,6.08697435,12.586008,6.08697435,42.56905192500002,151.21683047500002
2023-08-07,3.874805,12.379863,9.928697,13.230681,9.8535115,13.230681,9.8535115,41.52376010000002,158.09715417500001
2023-08-08,6.812482,16.516247,8.937808,17.396605,12.4157855,17.396605,12.4157855,28.356271350000014,165.95823180000002
2023-08-09,66.06887,71.78832,54.653873,65.73127,64.56058325000001,71.78832,64.56058325000001,86.82988025000003,151.20930705
2023-08-10,9.271976,17.638563,11.57349,20.217205,14.6753085,20.217205,14.6753085,91.65167725000003,144.074240675
2023-08-11,9.525074,17.01762,4.07261,16.23676,11.713016,17.01762,11.713016,90.94890775000003,144.88845335000002
2023-08-12,17.642857,62.53955,19.400105,42.11057,35.4232705,62.53955,35.4232705,61.811595000000025,154.7284496
2023-08-13,52.323193,30.170727,29.7505,23.459925,33.92608625,52.323193,33.92608625,81.06237275000002,182.5675615
2023-08-14,46.85812,45.25063,33.71763,40.887707,41.67852175,46.85812,41.67852175,111.02787850000003,214.39257175
2023-08-15,0.0,0.02923169,1.7607846,4.586834,1.5942125725,4.586834,1.5942125725,77.19882057250003,203.57099882250003
2023-08-16,15.059216,13.198911,0.8226779,6.311246,8.848012725,15.059216,8.848012725,52.12074704750003,147.8584282975
2023-08-17,6.118072,0.2857379,10.924117,8.5449505,6.46821935,10.924117,6.46821935,16.91044464750003,139.6513391475
2023-08-18,6.3035674,3.7102103,50.083374,25.766224,21.465843925,50.083374,21.465843925,36.78207600000003,149.4041670725
2023-08-19,7.9679036,49.574657,22.036154,34.055374,28.40852215,49.574657,28.40852215,56.34258542500003,142.3894187225
2023-08-20,13.030594,21.109726,1.1405796,10.410264,11.4227909,21.109726,11.4227909,61.297156975000036,119.88612337250002
2023-08-21,43.345432,29.66138,21.750607,18.392168,28.28739675,43.345432,28.28739675,68.11870980000003,106.49499837250002
2023-08-22,6.598753,3.1081333,8.491561,9.899721,7.024542075,9.899721,7.024542075,46.73472972500004,111.92532787500002
2023-08-23,62.330975,15.929572,11.913228,10.191426,25.091300250000003,62.330975,25.091300250000003,60.40323907500004,128.16861540000002
